trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",25,0,-46.14128207509549,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
90,False,"{'a': 0.01, 'e': 0.6216099682706644}",20,0,-28.898186229933984,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,0,-64.3009109720886,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434628}",20,14,-30.703257747207147,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",25,0,-78.42632834144236,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
94,False,"{'a': 0.01, 'e': 0.5897880250310982}",25,0,-85.94275844400933,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",30,3,-149.7652978383474,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 4}",1
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",20,10,-25.475541310860084,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",20,0,-123.4377105491854,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",30,4,-50.85893430784977,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 1}",1
99,False,"{'a': 0.01, 'e': 0.5486898605815875}",30,10,-45.35235102249715,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",25,5,-48.51975237035726,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",1
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",20,0,-66.54199749517852,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
102,False,"{'a': 0.01, 'e': 0.5233659512516495}",25,0,-55.06941739347032,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",20,1,0.9460094484089214,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",30,17,-36.60312266272899,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 1}",1
105,False,"{'a': 0.01, 'e': 0.49757104789172696}",20,0,-88.41852581809778,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
106,False,"{'a': 0.01, 'e': 0.4888720818605275}",25,10,-22.460879297761,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.4801242290285341}",20,0,-102.29481398462988,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",25,0,-19.858655753016386,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",20,9,-2.635996703019302,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",20,0,-122.87659155521807,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
111,False,"{'a': 0.01, 'e': 0.4446615167417068}",20,0,-133.19843684887013,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
112,False,"{'a': 0.01, 'e': 0.4356824462767121}",25,0,-65.32371911566044,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",20,0,-40.504054338797566,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",25,0,-5.37875864578295,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",25,13,2.2889745297797246,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
